68.3,12.5,40.7,55.6,45.2,56.2,14.3,41.82857143
52,66.7,56.7,56.9,58.4,50,62.2,57.55714286
57.1,80,85.7,NaN,70,66.7,50,68.25
46.4,66.7,44.2,26.9,37.8,51.6,46.9,45.78571429
60,28.6,46.2,33.3,63.2,14.3,46.2,41.68571429
57.1,50,25,0,75,0,33.3,34.34285714
40.9,37.5,50,36.8,36.4,0,26.7,32.61428571
0,0,50,100,0,NaN,NaN,30
50,37.5,45.5,59.5,53.6,50,45,48.72857143
60,100,60,50,69.2,50,42.9,61.72857143
50,100,33.3,0,25,NaN,NaN,41.66
50,66.7,57.1,40,50,100,0,51.97142857
0,NaN,0,33.3,50,66.7,0,25
36.7,0,57.1,50,61.9,46.2,42.9,42.11428571
33.3,NaN,16.7,100,16.7,NaN,0,33.34
36.4,NaN,9.1,66.7,18.2,NaN,25,31.08
33.3,0,37.5,9.1,43.8,100,50,39.1
